,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
Kandy,-0.1999999999999993,-0.1999999999999993,-0.6999999999999993,-0.8999999999999986,-0.5,-0.6000000000000014,-0.8000000000000007,-0.6000000000000014,-0.40000000000000213,-0.10000000000000142,0.10000000000000142,0.09999999999999787,-0.09999999999999787,-0.3000000000000007,-0.5999999999999979,-1.1999999999999993,-1.1999999999999993,-1.5,-1.5999999999999979,-1.3000000000000007,-1.6999999999999993,-1.6999999999999993,-1.3000000000000007,-1.3999999999999986
Kegalle,0.0,0.0,-0.29999999999999716,-1.2999999999999972,-1.8000000000000007,-1.8999999999999986,-1.6999999999999993,-1.1999999999999993,-0.8000000000000007,-0.5,-0.40000000000000213,-0.3999999999999986,-0.5,-0.6999999999999993,-1.0,-1.6999999999999993,-1.3999999999999986,-1.1999999999999993,-0.6000000000000014,-0.30000000000000426,-0.29999999999999716,-0.20000000000000284,-0.29999999999999716,-0.6000000000000014
Kilinochchi,-0.09999999999999787,0.0,-0.1999999999999993,-0.8000000000000007,-0.9000000000000021,-0.8000000000000007,-0.8000000000000007,-0.7999999999999972,-0.5,-0.3000000000000007,-0.10000000000000142,0.0,-0.09999999999999787,-0.3000000000000007,-0.7000000000000028,-1.3999999999999986,-1.3000000000000007,-1.1999999999999993,-1.5,-1.9000000000000021,-1.1000000000000014,-1.0999999999999979,-1.1000000000000014,-0.6999999999999993
Kurunegala,-0.3000000000000007,-0.8000000000000007,-1.1999999999999993,-1.1999999999999993,-0.8999999999999986,-0.5,-0.3000000000000007,-0.1999999999999993,-0.10000000000000142,-0.1999999999999993,-0.1999999999999993,-0.10000000000000142,-0.10000000000000142,-0.09999999999999787,-0.5,-0.9000000000000021,-0.9000000000000021,-0.7999999999999972,-0.8000000000000007,-0.5999999999999979,-0.5999999999999979,-0.6999999999999993,-0.6999999999999993,-0.9000000000000021
Mannar,0.5,0.10000000000000142,-0.40000000000000213,-1.1999999999999993,-1.0999999999999979,-0.8999999999999986,-0.6999999999999993,-0.6999999999999993,-0.7000000000000028,-0.6999999999999993,-0.7999999999999972,-0.6999999999999993,-0.6000000000000014,-0.6999999999999993,-1.1000000000000014,-1.5,-1.5,-1.1999999999999993,-1.3000000000000007,-1.0,-0.5,-0.8000000000000007,-0.8000000000000007,-0.3999999999999986
Matale,-0.20000000000000284,-0.5,-1.2000000000000028,-1.1000000000000014,-0.8000000000000007,-0.6000000000000014,-1.0,-0.3999999999999986,-0.1999999999999993,0.10000000000000142,0.5999999999999979,0.7000000000000028,0.6999999999999993,0.5999999999999979,0.6000000000000014,0.3000000000000007,0.8000000000000007,0.8999999999999986,0.8000000000000007,0.5,0.3999999999999986,0.5,0.5,0.3000000000000007
Matara,-0.29999999999999716,-2.0,-1.7999999999999972,-2.200000000000003,-2.5,-2.6000000000000014,-2.400000000000002,-2.099999999999998,-1.8000000000000007,-1.6999999999999993,-1.5999999999999979,-1.5999999999999979,-1.5,-1.6999999999999993,-1.8999999999999986,-3.0,-1.6000000000000014,-1.0999999999999979,-1.2000000000000028,-1.3999999999999986,-1.6999999999999957,-1.2999999999999972,0.19999999999999574,0.6000000000000014
Monaragala,1.5,1.2999999999999972,1.3000000000000007,0.8999999999999986,0.6000000000000014,-0.3000000000000007,-0.9000000000000021,-0.9000000000000021,-0.6999999999999993,-0.3999999999999986,-0.29999999999999716,-0.3000000000000007,-0.40000000000000213,-0.6999999999999993,-1.1000000000000014,-1.6999999999999993,-1.9000000000000021,-1.8000000000000007,-1.5,-1.1000000000000014,-0.6000000000000014,0.0,0.7000000000000028,0.8999999999999986
Mullaitivu,-1.1000000000000014,-1.7000000000000028,-2.3000000000000007,-3.099999999999998,-3.200000000000001,-3.0999999999999996,-2.3999999999999986,-2.3000000000000007,-2.799999999999999,-3.0999999999999996,-2.700000000000001,-2.5999999999999996,-1.799999999999999,-1.4000000000000004,-1.700000000000001,-2.400000000000002,-2.1999999999999993,-1.7000000000000028,-1.6000000000000014,-1.5,-1.5,-1.0999999999999979,-1.2000000000000028,-1.2000000000000028
NuwaraEliya,-0.5,-0.6000000000000014,-0.8000000000000043,-1.1999999999999993,-1.5999999999999979,-1.8999999999999986,-1.6999999999999993,-1.3999999999999986,-1.1999999999999993,-1.0,-0.8999999999999986,-0.6999999999999993,-0.7000000000000028,-0.8000000000000007,-1.1000000000000014,-1.6999999999999993,-1.6999999999999993,-1.5,-1.6000000000000014,-1.6999999999999957,-2.0,-1.7999999999999972,-1.8999999999999986,-1.5
Polonnaruwa,-0.10000000000000142,-0.3000000000000007,-0.8000000000000007,-1.1000000000000014,-0.8000000000000007,-0.5999999999999979,-0.29999999999999716,-0.10000000000000142,0.0,0.09999999999999787,0.1999999999999993,0.1999999999999993,0.29999999999999716,0.1999999999999993,-0.1999999999999993,-0.6000000000000014,-0.3999999999999986,-0.5,-0.6999999999999993,-0.8999999999999986,-1.0,-0.6999999999999993,-0.5,-0.3999999999999986
Puttalam,0.29999999999999716,0.5,0.3000000000000007,-0.5,-0.9000000000000021,-0.9000000000000021,-1.0,-1.0,-0.8999999999999986,-0.6999999999999993,-0.5999999999999979,-0.5999999999999979,-0.6000000000000014,-0.7000000000000028,-1.0999999999999979,-1.6000000000000014,-1.3999999999999986,-1.3999999999999986,-1.0999999999999979,-0.6999999999999993,-0.3999999999999986,0.5,0.7000000000000028,-0.6000000000000014
Ratnapura,0.6000000000000014,1.3999999999999986,1.6000000000000014,1.3000000000000007,0.8000000000000007,0.1999999999999993,-0.3000000000000007,-0.7000000000000028,-0.6999999999999993,-0.5999999999999979,-0.3999999999999986,-0.10000000000000142,-0.10000000000000142,-0.5999999999999979,-1.2000000000000028,-1.7999999999999972,-1.8000000000000007,-1.5999999999999979,-1.5,-1.3999999999999986,-1.2999999999999972,-1.0,0.29999999999999716,0.6000000000000014
Trincomalee,-0.6000000000000014,-0.5,-0.6999999999999957,-1.6999999999999993,-2.0,-2.0,-1.8000000000000007,-1.3999999999999986,-1.0,-0.7999999999999972,-0.6000000000000014,-0.5,-0.6000000000000014,-0.6000000000000014,-0.8999999999999986,-1.3000000000000007,-1.0999999999999979,-0.6999999999999993,-0.5999999999999979,-1.0,-0.7999999999999972,-0.5999999999999943,-0.3999999999999986,-0.7000000000000028
