,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
Kandy,-1.2999999999999972,-2.4000000000000057,1.2000000000000028,2.799999999999997,1.0999999999999943,0.29999999999999716,1.5,1.7999999999999972,1.0999999999999943,0.29999999999999716,-0.7000000000000028,-1.4000000000000057,-0.7999999999999972,1.0999999999999943,1.7999999999999972,4.900000000000006,6.400000000000006,7.0,6.700000000000003,4.599999999999994,6.0,6.799999999999997,3.299999999999997,3.9000000000000057
Kegalle,-4.0,-5.5,-6.600000000000001,0.7999999999999972,2.299999999999997,4.299999999999997,3.4000000000000057,1.4000000000000057,-1.2000000000000028,-1.2999999999999972,-1.0,-0.09999999999999432,2.0,2.5,3.9000000000000057,6.200000000000003,4.700000000000003,0.7999999999999972,-2.8999999999999986,-3.8999999999999986,-3.8999999999999986,-4.700000000000003,-4.799999999999997,-2.6000000000000014
Kilinochchi,-5.299999999999997,-5.400000000000006,-2.0,2.200000000000003,5.0,4.599999999999994,4.099999999999994,4.900000000000006,3.799999999999997,2.700000000000003,2.5,0.7000000000000028,1.2999999999999972,2.4000000000000057,3.0999999999999943,6.200000000000003,5.799999999999997,3.700000000000003,3.0999999999999943,6.900000000000006,2.1000000000000014,0.5,0.10000000000000142,-1.2999999999999972
Kurunegala,0.20000000000000284,2.799999999999997,5.099999999999994,5.400000000000006,2.9000000000000057,0.7999999999999972,-1.0,0.20000000000000284,0.5,2.9000000000000057,2.200000000000003,3.0,1.0,0.29999999999999716,2.0,3.299999999999997,2.4000000000000057,1.7000000000000028,0.0,-2.200000000000003,-2.0999999999999943,-1.7000000000000028,0.0,1.4000000000000057
Mannar,-4.200000000000003,-1.2000000000000028,2.5999999999999943,9.200000000000003,10.099999999999994,8.799999999999997,6.5,4.900000000000006,4.799999999999997,3.9000000000000057,4.799999999999997,2.5,2.200000000000003,4.200000000000003,7.900000000000006,9.799999999999997,9.799999999999997,7.299999999999997,7.799999999999997,4.5,-1.7000000000000028,0.0,1.7000000000000028,-0.4000000000000057
Matale,-3.700000000000003,-1.5,4.299999999999997,5.900000000000006,3.700000000000003,1.9000000000000057,4.599999999999994,1.4000000000000057,1.2999999999999972,0.29999999999999716,-2.799999999999997,-4.599999999999994,-4.099999999999994,-4.299999999999997,-4.900000000000006,-4.200000000000003,-7.099999999999994,-9.099999999999994,-10.900000000000006,-9.5,-9.400000000000006,-7.799999999999997,-8.200000000000003,-9.0
Matara,-0.10000000000000142,7.899999999999999,7.299999999999997,10.299999999999997,12.0,10.5,8.599999999999994,5.799999999999997,3.299999999999997,2.200000000000003,2.5999999999999943,2.299999999999997,-0.09999999999999432,-3.5,-6.700000000000003,-4.099999999999994,-7.200000000000003,-6.700000000000003,-4.799999999999997,-3.700000000000003,-1.2999999999999972,-0.7000000000000028,-5.100000000000001,-6.600000000000001
Monaragala,-13.600000000000001,-16.0,-14.599999999999994,-15.400000000000006,-13.299999999999997,-8.5,-5.599999999999994,-4.400000000000006,-4.400000000000006,-4.0,-3.0999999999999943,-2.5,-0.5999999999999943,0.20000000000000284,0.5,2.200000000000003,3.0,1.7000000000000028,0.0,-2.799999999999997,-3.6000000000000014,-4.899999999999999,-9.5,-10.5
Mullaitivu,1.2000000000000028,2.200000000000003,2.200000000000003,7.0,9.299999999999997,9.599999999999994,4.799999999999997,2.700000000000003,-0.20000000000000284,1.9000000000000057,0.29999999999999716,1.5,-1.0999999999999943,-2.299999999999997,0.4000000000000057,2.0,-0.4000000000000057,-3.5999999999999943,-4.400000000000006,-4.5,-3.9000000000000057,-7.5,-5.700000000000003,-6.900000000000006
NuwaraEliya,-3.799999999999997,-3.6000000000000014,-3.700000000000003,-0.7000000000000028,3.200000000000003,5.200000000000003,4.799999999999997,2.0999999999999943,1.4000000000000057,0.7000000000000028,1.0999999999999943,-0.09999999999999432,0.9000000000000057,2.0,1.9000000000000057,2.5999999999999943,3.700000000000003,1.6000000000000014,1.3999999999999986,2.299999999999997,2.5,3.5,3.5,2.0
Polonnaruwa,-3.700000000000003,-3.700000000000003,-1.0999999999999943,0.4000000000000057,0.29999999999999716,-0.29999999999999716,-0.4000000000000057,0.5,-0.5,-1.4000000000000057,-2.299999999999997,-3.799999999999997,-4.0,-3.799999999999997,-2.9000000000000057,-1.9000000000000057,-3.799999999999997,-4.099999999999994,-4.400000000000006,-3.700000000000003,-2.200000000000003,-3.799999999999997,-3.4000000000000057,-3.5
Puttalam,-3.5,-3.5,-2.0999999999999943,2.5,5.700000000000003,6.0,6.5,5.400000000000006,5.200000000000003,4.700000000000003,5.599999999999994,2.5999999999999943,2.200000000000003,2.5999999999999943,2.9000000000000057,7.299999999999997,9.900000000000006,12.400000000000006,10.0,5.099999999999994,1.0,-3.9000000000000057,-6.5,-1.2999999999999972
Ratnapura,-6.600000000000001,-12.0,-14.200000000000003,-14.599999999999994,-13.299999999999997,-10.299999999999997,-7.299999999999997,-4.599999999999994,-3.4000000000000057,-1.7999999999999972,-1.5,-1.7000000000000028,-1.2000000000000028,0.7999999999999972,2.700000000000003,4.900000000000006,5.099999999999994,1.0,-1.1000000000000014,-0.8999999999999986,-0.5,-1.7999999999999972,-5.899999999999999,-8.100000000000001
Trincomalee,-1.2000000000000028,-2.700000000000003,-1.7000000000000028,2.6000000000000014,2.8999999999999986,3.5999999999999943,4.400000000000006,3.200000000000003,3.4000000000000057,3.0999999999999943,2.299999999999997,2.0,2.0999999999999943,1.2000000000000028,1.0999999999999943,1.7000000000000028,-1.0999999999999943,-4.599999999999994,-5.0,-2.1000000000000014,-1.2999999999999972,-1.0,-1.7999999999999972,-0.8999999999999986
